日期,商店名稱,發票編號,項目,價錢,結帳方式,點數
2019/11/25 23:12:03,Donutes(德賢) ,WH-89255079,葡萄奶酥炸彈,28,現金,1
2019/11/25 23:12:03,Donutes(德賢) ,WH-89255079,聖誕夜之星    X2,35,現金,1
,,,,,,
2019/12/02 18:31:12,極品豚骨拉麵店,WP-28969362,混沌拉麵,85,現金,0
,,,,,,
2019-12-03 18:28:20,7-11(德賢),VZ-00301065,純喫茶紅茶650ml,25,悠遊卡,0
,,,,,,
12/03 22:44:42,Donutes(德賢),WH-89258679,波羅,25,現金,0
12/03 22:44:42,Donutes(德賢),WH-89258679,葡萄奶酥炸彈,28,現金,0
12/03 22:44:42,Donutes(德賢),WH-89258679,黑糖杯杯,28,現金,0
,,,,,,
12/04 18:13:23,7-11(德賢),VZ-00301466,瑞穗麥芽牛奶,42,悠遊卡,0
,,,,,,
12/04 8:08,小北百貨(楠梓),VM-05045438,黑人牙膏,64,悠遊卡,0
,,,,,,
2019/12/07 0:28:57,Donutes(德賢),WH-89319039,波羅  X2,50,現金,1
,,,,,,
12/07 0:34:00,小北百貨(楠梓),VM-05089116,H20純水家庭號,45,悠遊卡,0
,,,,,,
,,,,,,
12/04 12:46,小北百貨(楠梓),VM-05089133,防寒手套,99,現金,0
,,,,,,
2019/12/9 22:37:19,McDonald's(後勁),WM-4089993,經典中薯,17,Mcard(點點卡),18
2019/12/9 22:37:19,McDonald's(後勁),WM-4089993,加購六塊雞,55,Mcard(點點卡),18
2019/12/9 22:37:19,McDonald's(後勁),WM-4089993,嫩煎雞腿堡,82,Mcard(點點卡),18
2019/12/9 22:37:19,McDonald's(後勁),WM-4089993,雪碧,33,Mcard(點點卡),18
,,,,,,
2019/12/7 20:06:46,Donutes(德賢),WH-89260141,波羅麵包,25,現金,2
2019/12/8 20:06:46,Donutes(德賢),WH-89260142,波羅麵包,25,現金,2
2019/12/9 20:06:46,Donutes(德賢),WH-89260143,波羅麵包,25,現金,2
2019/12/10 20:06:46,Donutes(德賢),WH-89260144,波羅麵包,25,現金,2
,,,,,,
12/16 22:50:21,McDonald's(後勁),WM-54095660,50點換大薯,,Mcard(點點卡),-50
,,,,,,
2019/12/18 23:30:44,7-11(德賢),VZ-00310441,舒潔棉柔小熊維尼版,99.5,悠遊卡,3
2019/12/19 23:30:44,7-11(德賢),VZ-00310441,舒潔棉柔小熊維泥版,99.5,悠遊卡,3